processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
ABCMA192-06,ROM 112860,298299,112860,F50078,Royal Ontario Museum,,BOLD:AAA6821,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,12271,Tamias sibiricus,,,,,"Laxmann, 1769",,,,,"Lim, BK; Kilburn, WP",,,,,,,A,F,S,,,,,,45.4,127.667,,,,,,,China,Heilongjiang Sheng,,"Maoershan, Liaoyeling",,,,,,,,,,
ABMC225-05,HBL008425,40941,,HBL008425,"University of Alberta, Parks Canada Tissue Repository",,BOLD:AAB7069,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,4745,Tamiasciurus,12319,Tamiasciurus hudsonicus,,,,,"Erxleben, 1777",,DNA/Tissue Vouchered Only,,,,,,,,,,,U,,,,,,"Whloe Animal, subsampled from tissue stored at the University of Alberta, Dept. of Zoology (Parks Canada Repository)",44.9167,-81.25,,,,,,,Canada,Ontario,Bruce Peninsula NP,,,22545,http://www.boldsystems.org/pics/ABMC/AB-Tamiasciurus_hudsonicus.jpg,,live photo,Centre for Biodiversity Genomics,2006,CreativeCommons - Attribution,Centre for Biodiversity Genomics,Alex Borisenko
ABRCR258-06,ROM 102663,259022,102663,,Royal Ontario Museum,,BOLD:AAJ3873,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,717136,Ictidomys,717137,Ictidomys tridecemlineatus,,,,,,,,,,"Van Damme, S; Vermeersch, H",,,,,,,A,F,S,,,,,,49.433,-99.15,,,,,,,Canada,Manitoba,,"Baldur, Section Ne27-5-13",,,,,,,,,,
CNPVT065-16,BIOUG31178-F02,7382533,BIOUG31178-F02,L#12BIOBUS-0470,Centre for Biodiversity Genomics,,BOLD:AAE2391,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741552,Urocitellus,741555,Urocitellus columbianus,,,Alex V. Borisenko,Morphology,,,Vouchered:Registered Collection,Tissue,,BIObus 2012,,,,Roadkill|overcast 15 C,,Free Hand,A,,,Mixed habitat,,,Waterton Lakes NP,,49.0491,-113.909,,,1288,,,,Canada,Alberta,Waterton Lakes National Park,Near Gate House of Townsite campground,"Town, ashphalt",,,,,,,,,
ETBM005-11,FN005,1879099,,GC-C12,University of Guelph,,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ixodes scapularis Bloodmeal,Slightly Engorged Nymph,43.681,-65.344,,,,,,,Canada,Nova Scotia,,,Gunning Cove,,,,,,,,,
ETBM039-11,FN039,1879133,,L-RS54,University of Guelph,,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ixodes scapularis Bloodmeal,Partially Engorged Nymph,44.369,-64.288,,,,,,,Canada,Nova Scotia,,,Lunenburg,,,,,,,,,
ETBM043-11,FN043,1879137,,L-RS54,University of Guelph,,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ixodes scapularis Bloodmeal,Partially Engorged Nymph,44.369,-64.288,,,,,,,Canada,Nova Scotia,,,Lunenburg,,,,,,,,,
GBAAW31585-24,PP587790,23999796,,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,
GBAAW31602-24,PP587797,23999813,,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,
GBAAW45096-24,OR638124,24013307,USNM:MAMM:570207,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
